id,first_name,last_name,visa_type,passport_number,nationality,state,destination country,destination state,gender,age,entry date,degree_type,major,exit date,institution,estimated expenses,start_date,end_date,transportion mode
16,Murray,Narey,Student,2809366524,India,Gujarat,United States,Alabama,M,27,8/2/2023,Master's,Computer Science,11/6/2024,"California State University, Fullerton",$13881.70,1/21/2023,1/15/2025,air
17,Laurens,Lacroutz,Student,9399218159,India,Andhra Pradesh,United States,Michigan,M,30,8/30/2023,Bachelor's,Business Administration,5/27/2024,Trident University,$23613.10,1/18/2023,1/28/2025,air
18,Agnella,Leggan,Student,3813141087,India,Andhra Pradesh,United States,Colorado,F,21,8/27/2023,Bachelor's,Business Administration,1/26/2023,"Davenport College of Business, Lansing",$24008.87,1/2/2023,2/5/2025,air
19,Brena,Zambon,Student,9474472888,India,Andhra Pradesh,United States,Texas,F,32,9/5/2023,Master's,Computer Science,8/19/2024,University of Tennessee - Chattanooga,$15628.19,1/30/2023,2/11/2025,air
20,Demetris,Apted,Student,2727673510,India,Andhra Pradesh,United States,Alabama,M,34,8/14/2023,Master's,Psychology,9/14/2023,New England Institute of Technology,$20979.79,1/15/2023,1/30/2025,air
21,Tann,Bahia,Student,4669888158,India,Gujarat,United States,Illinois,M,27,8/4/2023,Bachelor's,Computer Science,8/9/2024,Ohio State University - Newark,$13253.77,1/8/2023,4/1/2025,air
22,Klarrisa,Kinsey,Student,3466800721,India,Andhra Pradesh,United States,Louisiana,F,31,9/9/2023,Master's,Computer Science,4/27/2025,Hood College,$10188.05,1/4/2023,2/4/2024,air
23,Marcelia,World,Student,6538385078,India,Uttar Pradesh,United States,Nevada,F,28,8/25/2023,Bachelor's,Computer Science,8/17/2023,Delta International University,$23348.66,1/21/2023,7/3/2024,air
24,Tamarra,Pedrick,Student,8457215521,India,Uttar Pradesh,United States,Louisiana,F,27,9/3/2023,Master's,Computer Science,3/29/2023,Louisiana State University at Eunice,$16844.00,1/12/2023,1/14/2024,air
25,Angie,Pallesen,Student,8307299575,India,Andhra Pradesh,United States,Georgia,F,23,8/31/2023,Master's,Business Administration,4/18/2024,University of Vermont,$11648.75,1/25/2023,11/12/2024,air
26,Walther,Flemmich,Student,4007781512,India,Uttar Pradesh,United States,District of Columbia,M,27,8/27/2023,Master's,Computer Science,3/7/2023,Harrington Institute of Interior Design,$24745.16,1/30/2023,5/15/2024,air
27,Lucila,Lambden,Student,6936597321,India,Andhra Pradesh,United States,Illinois,F,19,8/28/2023,Master's,Psychology,2/14/2024,Ouachita Baptist University,$17978.38,1/24/2023,5/6/2024,air
28,Newton,Bilbrooke,Student,6395916331,India,Andhra Pradesh,United States,Texas,M,18,9/5/2023,Master's,Business Administration,6/7/2023,Hardin-Simmons University,$18925.93,1/13/2023,3/13/2025,air
29,Meade,Jirasek,Student,5426786177,India,Uttar Pradesh,United States,Missouri,F,25,8/21/2023,Master's,Business Administration,9/17/2024,Hesser College,$18541.72,1/22/2023,12/7/2024,air
30,Anastasie,Pringley,Student,3268344178,India,Uttar Pradesh,United States,Texas,F,34,8/5/2023,Master's,Business Administration,12/9/2023,Free University (Virginia Theological University),$23380.17,1/7/2023,3/27/2024,air
31,Zorine,Maffioletti,Student,9766417077,India,Uttar Pradesh,United States,Indiana,F,33,8/10/2023,Master's,Computer Science,6/7/2024,Rhode Island College,$23363.82,1/21/2023,1/2/2024,air
32,Garrick,Garvan,Student,8798791012,India,Gujarat,United States,Florida,M,25,8/21/2023,Master's,Computer Science,1/13/2024,Carroll College Helena,$11073.94,1/1/2023,8/17/2024,air
33,Derward,Cursons,Student,8509095269,India,Gujarat,United States,Washington,M,30,8/3/2023,Master's,Psychology,1/4/2025,Illinois College of Optometry,$23348.37,1/21/2023,1/15/2025,air
34,Lissi,Cordeiro,Student,6809465551,India,Andhra Pradesh,United States,Michigan,F,26,8/22/2023,Bachelor's,Computer Science,3/23/2025,Western Washington University,$12665.82,1/23/2023,1/30/2024,air
35,Margo,Pouck,Student,5825430630,India,Andhra Pradesh,United States,California,F,19,9/10/2023,Master's,Computer Science,12/30/2024,Gwynedd-Mercy College,$18033.04,1/27/2023,1/1/2025,air
36,Jock,Wawer,Student,2071052973,India,Andhra Pradesh,United States,Florida,M,26,8/6/2023,Bachelor's,Computer Science,2/18/2024,Ohio Valley College,$14680.69,1/29/2023,1/27/2024,air
37,Thornton,Orneblow,Student,7342841962,India,Andhra Pradesh,United States,Oregon,M,26,8/16/2023,Bachelor's,Computer Science,4/6/2025,"University of Washington, Tacoma",$11283.59,1/12/2023,5/17/2024,air
38,Barris,Wyre,Student,8544638750,India,Andhra Pradesh,United States,Georgia,M,20,8/2/2023,Master's,Computer Science,1/7/2023,Clearwater Christian College,$10205.37,1/17/2023,5/14/2024,air
39,Thomasina,Magrannell,Student,6789495893,India,Andhra Pradesh,United States,New Jersey,F,31,9/12/2023,Master's,Business Administration,11/15/2024,Thomas College Maine,$19039.72,1/23/2023,9/16/2024,air
40,Rollie,Woakes,Student,8853505617,India,Uttar Pradesh,United States,Maryland,M,20,8/24/2023,Bachelor's,Computer Science,12/29/2024,Eastern Illinois University,$21678.32,1/23/2023,3/5/2024,air
41,Corinna,Shotbolt,Student,6648071377,India,Uttar Pradesh,United States,North Carolina,F,18,8/20/2023,Master's,Business Administration,12/25/2023,University of Connecticut at Avery Point,$11845.00,1/8/2023,3/16/2025,air
42,Cassie,Hawney,Student,5387286322,India,Uttar Pradesh,United States,District of Columbia,F,34,8/6/2023,Master's,Computer Science,4/5/2023,Sinte Gleska University,$11390.54,1/26/2023,3/8/2024,air
43,Aldridge,Axleby,Student,7747464996,India,Andhra Pradesh,United States,Florida,M,21,8/30/2023,Master's,Psychology,10/23/2024,Lake Superior State University,$18917.91,1/18/2023,9/14/2024,air
44,Vittorio,Foulkes,Student,9828033475,India,Gujarat,United States,Arizona,M,18,8/30/2023,Bachelor's,Business Administration,7/7/2023,University of Texas Health Center at Tyler,$11698.27,1/1/2023,5/17/2025,air
45,Bernette,Lanbertoni,Student,8286437501,India,Andhra Pradesh,United States,Illinois,F,21,9/3/2023,Master's,Computer Science,9/11/2024,Trinity University,$15494.60,1/10/2023,6/25/2024,air
46,Tony,Vickors,Student,8191599502,India,Uttar Pradesh,United States,Michigan,F,28,8/9/2023,Master's,Computer Science,11/10/2023,Providence College,$24209.78,1/10/2023,1/23/2025,air
47,Grayce,Hesse,Student,6299445405,India,Andhra Pradesh,United States,Illinois,F,20,8/7/2023,Master's,Business Administration,1/30/2025,Reformed Bible College,$24678.04,1/8/2023,7/18/2024,air
48,Moritz,Coupland,Student,6490184939,India,Andhra Pradesh,United States,Texas,M,18,8/19/2023,Master's,Business Administration,1/14/2025,Eckerd College,$20789.50,1/19/2023,3/7/2024,air
49,Alene,Deble,Student,7071598507,India,Uttar Pradesh,United States,Washington,F,29,8/13/2023,Master's,Computer Science,8/18/2023,Wichita State University,$11940.31,1/10/2023,7/7/2024,air
50,Skip,Deneve,Student,8147157559,India,Andhra Pradesh,United States,Colorado,M,29,9/6/2023,Bachelor's,Computer Science,6/5/2024,New York College of Podiatric Medicine,$24635.27,1/3/2023,5/15/2024,air
51,Toby,Gaudin,Student,5698969692,India,Andhra Pradesh,United States,Florida,M,26,9/8/2023,Bachelor's,Computer Science,1/17/2024,Rhode Island School of Design,$24384.92,1/6/2023,2/19/2024,air
52,Delilah,Tarbath,Student,2183942145,India,Uttar Pradesh,United States,Michigan,F,30,8/8/2023,Master's,Business Administration,3/23/2023,American InterContinental University - Georgia,$13333.95,1/17/2023,2/12/2025,air
53,Lyndy,Skellon,Student,9981103903,India,Gujarat,United States,Florida,F,23,8/27/2023,Master's,Computer Science,11/26/2024,Sheldon Jackson College,$12417.04,1/26/2023,5/27/2025,air
54,Stefania,Ridolfi,Student,7750635378,India,Andhra Pradesh,United States,Texas,F,29,8/31/2023,Master's,Computer Science,3/9/2025,University of Central Arkansas,$15527.88,1/22/2023,3/24/2024,air
55,Vanya,Power,Student,8929490309,India,Uttar Pradesh,United States,Tennessee,M,30,8/5/2023,Master's,Computer Science,4/30/2024,Gonzaga University,$10888.32,1/2/2023,2/10/2024,air
56,Maddi,McPharlain,Student,3744717319,India,Uttar Pradesh,United States,Illinois,F,18,8/25/2023,Master's,Computer Science,4/20/2024,Pace University,$16893.66,1/9/2023,6/3/2024,air
57,Ellie,Adshede,Student,6694270073,India,Uttar Pradesh,United States,California,F,32,9/9/2023,Master's,Computer Science,1/10/2024,Evangel University,$19704.22,1/15/2023,8/19/2024,air
58,Fayette,Sharer,Student,4900885096,India,Andhra Pradesh,United States,Colorado,F,32,8/27/2023,Master's,Business Administration,6/5/2023,Webber College,$13454.42,1/30/2023,4/21/2024,air
59,Petr,Howey,Student,8182243699,India,Uttar Pradesh,United States,Colorado,M,26,9/11/2023,Master's,Business Administration,9/11/2024,College of Notre Dame,$13269.06,1/29/2023,4/12/2025,air
60,Katey,Ponsford,Student,2623088991,India,Gujarat,United States,Connecticut,F,30,8/22/2023,Master's,Computer Science,5/8/2023,College of St. Elizabeth,$23458.50,1/10/2023,10/27/2024,air
61,Deloria,Wraith,Student,7115566646,India,Andhra Pradesh,United States,Virginia,F,30,8/21/2023,Master's,Psychology,5/30/2023,Alderson Broaddus College,$20056.97,1/30/2023,7/20/2024,air
62,Inger,Kovacs,Student,5038822375,India,Uttar Pradesh,United States,Connecticut,F,28,8/1/2023,Master's,Computer Science,12/29/2024,National Technological University,$11008.19,1/24/2023,12/9/2024,air
63,Ancell,Mumberson,Student,1563326122,India,Andhra Pradesh,United States,Texas,M,29,8/4/2023,Master's,Computer Science,4/15/2024,College Misericordia,$15707.71,1/27/2023,11/24/2024,air
64,Colleen,McFadyen,Student,7542222184,India,Gujarat,United States,New York,F,30,9/1/2023,Bachelor's,Computer Science,1/12/2024,Northwestern College Iowa,$22905.01,1/13/2023,3/24/2024,air
65,Roger,De Malchar,Student,8964197984,India,Gujarat,United States,New Jersey,M,21,9/6/2023,Master's,Business Administration,8/25/2024,Indiana University-Purdue University at Indianapolis,$24831.96,1/9/2023,11/27/2024,air
66,Linda,Varran,Student,9365241415,India,Uttar Pradesh,United States,California,F,32,9/8/2023,Master's,Computer Science,11/11/2024,"California State University, Monterey Bay",$14352.25,1/10/2023,12/14/2024,air
67,Giacomo,Bootherstone,Student,1938436487,India,Uttar Pradesh,United States,Georgia,M,22,8/10/2023,Master's,Computer Science,6/16/2023,Brooklyn Law School,$14152.61,1/25/2023,12/23/2023,air
68,Sanderson,Pitone,Student,6405358587,India,Uttar Pradesh,United States,Texas,M,26,8/25/2023,Master's,Psychology,10/11/2023,Bryant University,$18114.50,1/17/2023,3/2/2025,air
69,Allyce,Ducker,Student,2647402552,India,Uttar Pradesh,United States,Iowa,F,22,8/4/2023,Master's,Psychology,8/9/2024,International Academy of  Merchandising and Design Chicago,$12449.13,1/10/2023,1/31/2024,air
70,Benjamin,McCritchie,Student,6964001418,India,Andhra Pradesh,United States,Pennsylvania,M,32,8/24/2023,Master's,Business Administration,8/25/2024,Salve Regina University,$10480.13,1/6/2023,8/18/2024,air
71,Sonja,Tindley,Student,4770567138,India,Uttar Pradesh,United States,Tennessee,F,34,8/20/2023,Bachelor's,Business Administration,12/10/2024,College of St. Benedict and St. John's University,$21351.50,1/10/2023,11/9/2024,air
72,Dennie,O' Dornan,Student,6147816671,India,Uttar Pradesh,United States,Georgia,F,23,8/22/2023,Master's,Business Administration,2/25/2023,University of Sioux Falls,$23850.62,1/2/2023,12/1/2024,air
73,Coreen,Code,Student,8373353938,India,Uttar Pradesh,United States,California,F,34,8/20/2023,Master's,Computer Science,6/23/2023,Colorado Technical University,$18496.18,1/14/2023,11/29/2024,air
74,Dmitri,Order,Student,3683621899,India,Andhra Pradesh,United States,Alabama,M,32,8/24/2023,Master's,Computer Science,1/8/2023,The Cooper Union for the Advancement of Science and Art,$22957.98,1/1/2023,5/9/2024,air
75,Zola,Moggach,Student,6092755899,India,Uttar Pradesh,United States,New Jersey,F,20,8/15/2023,Master's,Business Administration,2/17/2025,San Francisco Art Institute,$10581.83,1/28/2023,11/7/2024,air
76,Tucky,McBeath,Student,9253384069,India,Andhra Pradesh,United States,California,M,30,8/26/2023,Bachelor's,Computer Science,1/4/2024,Colby College,$18878.19,1/22/2023,2/13/2024,air
77,Prinz,Nijs,Student,2241673660,India,Gujarat,United States,Washington,M,32,8/30/2023,Bachelor's,Computer Science,9/8/2024,Wofford College,$21007.58,1/1/2023,1/19/2024,air
78,Paulita,Flott,Student,9363319467,India,Gujarat,United States,Florida,F,25,8/18/2023,Master's,Business Administration,2/15/2023,Lake Forest Graduate School of Management,$15484.70,1/3/2023,6/12/2024,air
79,Odelia,Browse,Student,4456231816,India,Gujarat,United States,Kentucky,F,26,9/14/2023,Master's,Computer Science,4/23/2024,Fielding Institute,$21692.63,1/21/2023,7/22/2024,air
80,Gladys,De Meyer,Student,1770859532,India,Uttar Pradesh,United States,California,F,23,8/4/2023,Bachelor's,Psychology,11/12/2024,University of Great Falls,$23961.79,1/16/2023,1/24/2024,air
81,Garnette,Goodley,Student,6582276985,India,Uttar Pradesh,United States,California,F,33,8/16/2023,Master's,Computer Science,5/22/2023,Talladega College,$14617.63,1/26/2023,1/22/2024,air
82,Lois,Swindlehurst,Student,9359285612,India,Andhra Pradesh,United States,Texas,F,26,9/14/2023,Bachelor's,Business Administration,4/7/2023,"National American University, Kansas City",$22236.75,1/9/2023,1/21/2024,air
83,Annissa,Fenne,Student,4459707442,India,Gujarat,United States,New York,F,25,8/31/2023,Master's,Computer Science,3/28/2023,University of Michigan - Flint,$14109.49,1/28/2023,7/25/2024,air
84,Sybille,Grahlman,Student,5009050162,India,Gujarat,United States,Florida,F,30,8/19/2023,Master's,Computer Science,5/11/2023,Air Force Institute of Technology,$11215.88,1/5/2023,6/21/2024,air
85,Hana,Leishman,Student,2478627880,India,Andhra Pradesh,United States,Ohio,F,25,8/14/2023,Master's,Psychology,1/10/2024,The Master's College,$17307.52,1/24/2023,2/21/2024,air
86,Pepi,Decort,Student,1950228775,India,Andhra Pradesh,United States,Nebraska,F,18,8/28/2023,Bachelor's,Business Administration,12/10/2024,The College of Westchester,$16899.64,1/16/2023,10/22/2024,air
87,Paxton,Kirley,Student,1233077803,India,Gujarat,United States,Virginia,M,31,8/30/2023,Master's,Psychology,12/2/2023,Bard Graduate Center for Studies in the Decorative Arts,$13104.88,1/26/2023,12/7/2024,air
88,Kizzie,Regorz,Student,6964820593,India,Andhra Pradesh,United States,Maryland,F,32,9/8/2023,Bachelor's,Business Administration,3/28/2023,California School of Professional Psychology - San Diego,$17694.78,1/24/2023,11/28/2024,air
89,Frederico,Turbill,Student,1476350267,India,Gujarat,United States,North Dakota,M,25,9/11/2023,Master's,Computer Science,6/26/2023,Montreat College,$21650.74,1/6/2023,2/27/2025,air
90,Kingsly,Bleckly,Student,5979867726,India,Gujarat,United States,Texas,M,21,8/9/2023,Bachelor's,Business Administration,4/1/2025,University of Rio Grande,$21295.70,1/14/2023,3/4/2024,air
91,Quinn,Wavell,Student,5422387906,India,Andhra Pradesh,United States,Texas,F,28,8/15/2023,Master's,Computer Science,3/1/2023,Ball State University,$15312.74,1/2/2023,6/9/2024,air
92,Isador,Burle,Student,4646437306,India,Uttar Pradesh,United States,New York,M,29,9/8/2023,Master's,Computer Science,3/20/2023,Texas A&M University - Corpus Christi,$12122.98,1/17/2023,4/20/2025,air
93,Corty,Galfour,Student,2990752094,India,Andhra Pradesh,United States,Kentucky,M,34,8/21/2023,Bachelor's,Computer Science,7/31/2023,John Paul the Great Catholic University,$21154.50,1/23/2023,1/23/2024,air
94,Pietra,Burkart,Student,7050723504,India,Uttar Pradesh,United States,District of Columbia,F,22,9/9/2023,Bachelor's,Psychology,5/15/2023,Rosemont College,$24041.32,1/6/2023,1/6/2025,air
95,Brandise,McCaughren,Student,8439715569,India,Uttar Pradesh,United States,California,F,25,8/29/2023,Master's,Business Administration,6/3/2024,"City University of New York, John Jay College of Criminal Justice",$10525.99,1/2/2023,7/28/2024,air
96,Berkeley,Gissing,Student,4679091481,India,Uttar Pradesh,United States,Illinois,M,29,8/9/2023,Master's,Computer Science,8/24/2024,"Taylor University, Fort Wayne Campus",$15046.09,1/12/2023,9/16/2024,air
97,Leontine,Oty,Student,4194785160,India,Uttar Pradesh,United States,Delaware,F,29,8/24/2023,Master's,Business Administration,8/23/2023,Stanford University,$21876.39,1/8/2023,5/22/2024,air
98,Zeke,Mennell,Student,3306773227,India,Uttar Pradesh,United States,Alaska,M,34,9/11/2023,Master's,Computer Science,6/25/2024,Lee University,$23154.97,1/15/2023,8/1/2024,air
99,Darlleen,MacCague,Student,9728353895,India,Andhra Pradesh,United States,Texas,F,19,8/26/2023,Master's,Psychology,9/4/2023,College of Mount St. Joseph,$24959.20,1/21/2023,7/15/2024,air
100,Roseline,Wolfendale,Student,8540155191,India,Uttar Pradesh,United States,Pennsylvania,F,34,8/25/2023,Bachelor's,Psychology,12/10/2024,Manhattan Christian College,$11792.88,1/3/2023,12/13/2024,air
101,Ari,Sorsbie,Student,7032497573,India,Gujarat,United States,California,M,30,9/6/2023,Master's,Business Administration,10/25/2024,Northeastern Ohio University College of Medicine,$23765.89,1/7/2023,8/3/2024,air
102,Mitch,Lothlorien,Student,2203464830,India,Andhra Pradesh,United States,California,M,28,9/11/2023,Bachelor's,Computer Science,12/30/2023,"Florida Metropolitan University, Tampa College Lakeland",$22506.32,1/15/2023,2/25/2025,air
103,Timothy,Bernier,Student,7380771551,India,Gujarat,United States,New Mexico,M,35,9/9/2023,Bachelor's,Computer Science,4/19/2025,University of South Carolina - Aiken,$15616.64,1/13/2023,5/22/2025,air
104,Moss,Gunton,Student,1567778752,India,Gujarat,United States,Virginia,M,28,8/9/2023,Master's,Psychology,1/31/2024,Cleveland Institute of Art,$16068.79,1/28/2023,7/29/2024,air
105,Tiertza,Whitely,Student,3571063012,India,Andhra Pradesh,United States,Texas,F,20,8/17/2023,Master's,Computer Science,11/2/2023,"University of Maine, Fort Kent",$19321.94,1/7/2023,1/25/2025,air
106,Elyn,Vuitton,Student,1498465786,India,Gujarat,United States,New York,F,29,8/10/2023,Master's,Psychology,6/15/2023,The College of Insurance,$12561.76,1/7/2023,3/21/2025,air
107,Zuzana,Pinsent,Student,7593652148,India,Andhra Pradesh,United States,Massachusetts,F,29,8/3/2023,Master's,Computer Science,12/2/2023,Pacifica Graduate Institute,$14256.69,1/16/2023,1/8/2025,air
108,Marlon,Plowman,Student,9076654082,India,Uttar Pradesh,United States,California,M,34,9/4/2023,Master's,Business Administration,1/9/2025,Wesley College Mississippi,$19125.48,1/28/2023,5/16/2024,air
109,Alphonse,Westell,Student,5199157520,India,Andhra Pradesh,United States,Kentucky,M,19,8/5/2023,Master's,Business Administration,5/8/2024,Northwestern State University of Louisiana,$18074.82,1/4/2023,3/25/2025,air
110,Mirna,Osgardby,Student,1309328103,India,Uttar Pradesh,United States,Texas,F,20,8/29/2023,Master's,Computer Science,6/8/2024,Bethany College California,$24646.64,1/10/2023,1/6/2025,air
111,Colman,Coulthart,Student,9504904341,India,Andhra Pradesh,United States,Louisiana,M,28,9/6/2023,Bachelor's,Computer Science,1/8/2025,Fred Hutchinson Cancer Research Center,$19767.39,1/19/2023,2/24/2025,air
112,Anatole,Rainton,Student,2761908752,India,Gujarat,United States,Utah,M,24,8/23/2023,Master's,Computer Science,4/25/2023,United States Coast Guard Academy,$16539.01,1/13/2023,12/28/2024,air
113,Kaleb,Marryatt,Student,1696000808,India,Gujarat,United States,District of Columbia,M,22,8/13/2023,Bachelor's,Business Administration,2/14/2024,Rivier College,$15685.48,1/9/2023,3/31/2025,air
114,Erwin,Duberry,Student,4902901333,India,Andhra Pradesh,United States,District of Columbia,M,23,8/25/2023,Master's,Computer Science,1/29/2024,Westminster College New Wilmington,$15044.23,1/11/2023,8/6/2024,air
115,Johna,Koschke,Student,9965488661,India,Gujarat,United States,Oklahoma,F,20,8/6/2023,Master's,Computer Science,5/31/2024,Colorado College,$14949.71,1/5/2023,8/4/2024,air
116,Dyann,Baylay,Student,9795425607,India,Uttar Pradesh,United States,Alaska,F,28,8/7/2023,Master's,Computer Science,11/14/2024,VanderCook College of Music,$21184.33,1/13/2023,8/2/2024,air
117,Waite,Pflieger,Student,7485078990,India,Uttar Pradesh,United States,Colorado,M,33,8/10/2023,Master's,Computer Science,12/18/2023,Texas Wesleyan University,$20764.11,1/7/2023,2/22/2025,air
118,Odella,Jewiss,Student,9294429056,India,Uttar Pradesh,United States,Nevada,F,26,9/10/2023,Master's,Computer Science,3/19/2024,"Long Island University, Southampton College",$15074.32,1/28/2023,11/4/2024,air
119,Virgie,Drance,Student,1144170854,India,Gujarat,United States,Georgia,M,34,9/4/2023,Master's,Computer Science,1/15/2023,Westminster College New Wilmington,$18465.02,1/4/2023,11/5/2024,air
120,Donnajean,Snazle,Student,9476473182,India,Uttar Pradesh,United States,Florida,F,32,8/21/2023,Master's,Computer Science,1/31/2023,Mid-Continent Baptist Bible College,$11801.59,1/28/2023,6/8/2024,air
121,Susannah,Bracher,Student,2758330234,India,Andhra Pradesh,United States,Virginia,F,20,8/15/2023,Master's,Business Administration,6/24/2023,"Cleveland Chiropractic College, Kansas City",$21390.75,1/6/2023,1/14/2025,air
122,Pieter,Novotne,Student,1663301573,India,Gujarat,United States,Kentucky,M,30,8/29/2023,Bachelor's,Computer Science,11/23/2024,Erskine College,$20660.38,1/13/2023,10/12/2024,air
123,Victor,Matczak,Student,8346572351,India,Uttar Pradesh,United States,North Carolina,M,21,8/1/2023,Bachelor's,Computer Science,5/7/2024,NAES College,$21795.36,1/7/2023,11/27/2024,air
124,Obie,Colledge,Student,4423978873,India,Andhra Pradesh,United States,Arkansas,M,28,8/9/2023,Master's,Psychology,10/18/2023,Eastern Kentucky University,$19250.27,1/23/2023,1/29/2025,air
125,Sondra,Belton,Student,6120299270,India,Andhra Pradesh,United States,Texas,F,33,8/2/2023,Master's,Psychology,12/1/2024,"Rasmussen College, Florida Campuses",$13691.66,1/19/2023,2/25/2025,air
126,Peyter,Iglesia,Student,5009657437,India,Gujarat,United States,Alabama,M,34,8/29/2023,Master's,Computer Science,11/18/2023,Tri-College University,$10271.09,1/25/2023,1/14/2025,air
127,Abramo,Lindblom,Student,6017628576,India,Andhra Pradesh,United States,District of Columbia,M,29,8/5/2023,Master's,Business Administration,7/23/2023,Appalachian Bible College,$17709.98,1/30/2023,11/9/2024,air
128,Florry,Maunton,Student,6185941310,India,Andhra Pradesh,United States,Delaware,F,24,9/3/2023,Master's,Computer Science,1/24/2024,Lander University,$19248.33,1/14/2023,8/3/2024,air
129,Humbert,Puddicombe,Student,8831225526,India,Uttar Pradesh,United States,Utah,M,29,9/13/2023,Master's,Business Administration,2/20/2023,The College of St. Scholastica,$21251.35,1/23/2023,5/1/2025,air
130,Adara,Scanlon,Student,7579935556,India,Andhra Pradesh,United States,Michigan,F,28,8/6/2023,Master's,Computer Science,4/12/2024,Antioch University,$18034.36,1/5/2023,8/18/2024,air
131,Patrizius,Jolly,Student,6386294214,India,Andhra Pradesh,United States,Rhode Island,M,20,9/7/2023,Bachelor's,Business Administration,7/28/2023,The Leadership Institute of Seattle,$17995.44,1/3/2023,7/5/2024,air
132,Manuel,Bubbins,Student,2232349234,India,Uttar Pradesh,United States,District of Columbia,M,33,8/28/2023,Bachelor's,Business Administration,4/16/2025,College of DuPage,$16600.21,1/7/2023,4/4/2024,air
133,Catherin,Lavery,Student,7485665445,India,Andhra Pradesh,United States,District of Columbia,F,19,8/16/2023,Master's,Computer Science,6/15/2023,University of Arkansas (System),$18313.94,1/23/2023,11/5/2024,air
134,Yehudi,Brisse,Student,7346424229,India,Uttar Pradesh,United States,Kansas,M,26,8/17/2023,Master's,Computer Science,2/22/2024,Mount Ida College,$21475.43,1/24/2023,2/7/2024,air
135,Sallie,Luety,Student,3838634848,India,Uttar Pradesh,United States,California,F,20,8/11/2023,Master's,Business Administration,4/11/2024,The New School,$20195.68,1/18/2023,1/5/2025,air
136,Cindee,Lochran,Student,8408855506,India,Uttar Pradesh,United States,Tennessee,F,22,9/9/2023,Master's,Computer Science,5/3/2023,Eckerd College,$17311.19,1/12/2023,9/23/2024,air
137,Gabbi,Husby,Student,1564866779,India,Uttar Pradesh,United States,Virginia,F,23,9/4/2023,Master's,Psychology,8/5/2024,Coastal Carolina University,$23367.65,1/16/2023,10/3/2024,air
138,Boonie,Lofty,Student,2270044438,India,Gujarat,United States,Georgia,M,25,9/12/2023,Master's,Business Administration,2/21/2023,American Conservatory Theater,$20511.89,1/13/2023,1/29/2024,air
