id,first_name,last_name,gender,age,visa_type,passport_number,nationality,state,destination country,destination state,entry date,exit date,estimated expenses,transportion mode,degree_type,major,institution,start_date,end_date,visa_sub_type,,,,,,,,,,,,,,,,,,
24,Hirsch,Kaines,M,29,Student,1462307837,Taiwan,,United States,Pennsylvania,8/21/2023,8/25/2024,$19414.04,air,Master's,Computer Science,Humphreys College,1/29/2023,07/01/24,,,,,,,,,,,,,,,,,,,
25,Rona,Kimbly,F,24,Student,5422806192,Taiwan,,United States,Florida,09/08/23,10/17/2023,$21361.41,air,Master's,Computer Science,Monterey Institute of International Studies,01/05/23,01/09/25,,,,,,,,,,,,,,,,,,,
26,Maressa,Osband,F,19,Student,7603860044,Taiwan,,United States,California,8/22/2023,2/15/2023,$18160.26,air,Master's,Computer Science,Winston-Salem State University,1/27/2023,4/25/2024,,,,,,,,,,,,,,,,,,,
27,Paolo,Clowes,M,18,Student,9781300333,Taiwan,,United States,Florida,8/23/2023,04/11/24,$15008.94,air,Master's,Computer Science,Northwest University,1/20/2023,2/16/2025,,,,,,,,,,,,,,,,,,,
28,Sherwynd,Worsell,M,29,Student,1385638635,Taiwan,,United States,Wisconsin,09/05/23,04/12/25,$13274.73,air,Master's,Business Administration,St. Edwards University,1/15/2023,04/12/25,,,,,,,,,,,,,,,,,,,
29,Giffie,Martschik,M,22,Student,1229109425,Taiwan,,United States,Texas,09/08/23,8/24/2023,$24149.75,air,Master's,Computer Science,College of Osteopathic Medicine of the Pacific (Western University of Health Sciences),1/17/2023,5/27/2025,,,,,,,,,,,,,,,,,,,
30,Dimitri,Edgar,M,24,Student,4170985446,Taiwan,,United States,Kansas,09/10/23,10/29/2023,$12053.90,air,Master's,Business Administration,St. Joseph's College,1/20/2023,7/30/2024,,,,,,,,,,,,,,,,,,,
31,Ernestine,Westmoreland,F,21,Student,7971138962,Taiwan,,United States,South Carolina,08/02/23,9/20/2024,$24454.53,air,Master's,Computer Science,"Washington State University, Vancouver",1/21/2023,1/23/2025,,,,,,,,,,,,,,,,,,,
32,Dolli,Fain,F,23,Student,9968951137,Taiwan,,United States,Arizona,08/09/23,01/08/25,$10632.29,air,Master's,Computer Science,Concord College,01/01/23,8/13/2024,,,,,,,,,,,,,,,,,,,
33,Yettie,Rotchell,F,23,Student,6837479740,Taiwan,,United States,Alabama,09/01/23,3/22/2025,$12833.91,air,Master's,Computer Science,University of Charleston South Carolina,01/08/23,05/03/24,,,,,,,,,,,,,,,,,,,
34,Lise,Glandfield,F,20,Student,3133719083,Taiwan,,United States,Florida,8/27/2023,1/24/2025,$19874.86,air,Master's,Computer Science,Baker College of Mount Clemens,01/05/23,01/01/25,,,,,,,,,,,,,,,,,,,
35,Enrica,Myton,F,28,Student,1065747339,Taiwan,,United States,New York,8/28/2023,01/05/23,$20999.24,air,Master's,Computer Science,Albright College,1/23/2023,5/26/2024,,,,,,,,,,,,,,,,,,,
36,Sonnie,Dolligon,F,22,Student,9598340389,Taiwan,,United States,North Carolina,08/06/23,04/04/25,$17545.78,air,Master's,Computer Science,Wright Institute,01/04/23,5/30/2024,,,,,,,,,,,,,,,,,,,
37,Deborah,Robben,F,35,Student,3619423303,Taiwan,,United States,Oklahoma,8/31/2023,01/10/23,$17521.16,air,Master's,Computer Science,Western Maryland College,1/22/2023,05/08/24,,,,,,,,,,,,,,,,,,,
38,Terrance,Aysh,M,30,Student,2704817657,Taiwan,,United States,Tennessee,09/05/23,04/05/23,$19415.43,air,Master's,Computer Science,Rosemont College,1/22/2023,6/28/2024,,,,,,,,,,,,,,,,,,,
39,Braden,Jeacop,M,20,Student,2257994801,Taiwan,,United States,Missouri,08/08/23,5/26/2024,$11765.69,air,Master's,Business Administration,Brenau University,1/22/2023,6/19/2024,,,,,,,,,,,,,,,,,,,
40,Karalee,Chapman,F,20,Student,7046643065,Taiwan,,United States,Utah,08/02/23,07/05/23,$13539.75,air,Master's,Business Administration,The Union Institute,1/27/2023,2/14/2024,,,,,,,,,,,,,,,,,,,
41,Barbe,Seiler,F,23,Student,6167381515,Taiwan,,United States,Georgia,08/04/23,07/12/24,$14476.15,air,Master's,Business Administration,The Curtis Institute of Music,01/06/23,8/30/2024,,,,,,,,,,,,,,,,,,,
42,Kevin,Laffoley-Lane,M,26,Student,2160821249,Taiwan,,United States,Iowa,09/02/23,4/28/2025,$23260.40,air,Master's,Computer Science,Norfolk State University,01/05/23,6/23/2024,,,,,,,,,,,,,,,,,,,
43,Lida,Volker,F,23,Student,7982295134,Taiwan,,United States,California,8/23/2023,3/29/2024,$16811.55,air,Master's,Computer Science,Illinois State University,1/17/2023,03/01/24,,,,,,,,,,,,,,,,,,,
44,Augustina,Tosspell,F,28,Student,8451608419,Taiwan,,United States,Texas,8/15/2023,12/29/2023,$24216.19,air,Master's,Computer Science,Trinity Christian College,01/07/23,11/05/24,,,,,,,,,,,,,,,,,,,
45,Florenza,Caddick,F,35,Student,1152118835,Taiwan,,United States,Indiana,08/07/23,06/01/24,$21474.24,air,Master's,Computer Science,University of Massachusetts at Amherst,1/16/2023,4/26/2025,,,,,,,,,,,,,,,,,,,
46,Jennie,Hearnah,F,29,Student,6171648165,Taiwan,,United States,Florida,8/19/2023,11/30/2023,$22617.42,air,Master's,Psychology,University of Texas Southwestern Medical Center at Dallas,01/05/23,5/16/2024,,,,,,,,,,,,,,,,,,,
47,Bess,Prantl,F,34,Student,1804881034,Taiwan,,United States,Florida,09/02/23,10/19/2024,$24981.96,air,Master's,Computer Science,Lubbock Christian University,01/04/23,07/09/24,,,,,,,,,,,,,,,,,,,
48,Lydia,Edwardson,F,26,Student,4648859307,Taiwan,,United States,California,08/01/23,10/08/23,$19268.88,air,Master's,Psychology,Mount Sinai School of Medicine,1/17/2023,01/01/25,,,,,,,,,,,,,,,,,,,
49,Brietta,Gierth,F,25,Student,9801884736,Taiwan,,United States,California,09/10/23,1/21/2024,$10104.03,air,Master's,Computer Science,Stetson University,1/15/2023,04/05/25,,,,,,,,,,,,,,,,,,,
50,Cly,Sandison,M,25,Student,7493888219,Taiwan,,United States,Texas,8/16/2023,01/06/25,$13092.27,air,Master's,Computer Science,Medical College of Georgia,1/27/2023,3/15/2025,,,,,,,,,,,,,,,,,,,
51,Ethyl,Virgo,F,20,Student,3617271174,Taiwan,,United States,Illinois,8/25/2023,12/19/2024,$16465.25,air,Master's,Business Administration,Indiana University - Northwest,1/13/2023,7/27/2024,,,,,,,,,,,,,,,,,,,
52,Cal,Ladds,M,27,Student,4065653798,Taiwan,,United States,District of Columbia,8/28/2023,11/13/2023,$18422.41,air,Master's,Computer Science,Drexel University,1/16/2023,12/07/24,,,,,,,,,,,,,,,,,,,
53,Dmitri,Carrel,M,26,Student,8330395386,Taiwan,,United States,Arkansas,08/05/23,06/01/24,$22224.42,air,Master's,Business Administration,"Concordia University, Portland",1/19/2023,7/30/2024,,,,,,,,,,,,,,,,,,,
54,Artair,Adlard,M,34,Student,7072119557,Taiwan,,United States,Mississippi,08/09/23,9/13/2023,$15713.06,air,Master's,Business Administration,American Indian College,1/30/2023,10/24/2024,,,,,,,,,,,,,,,,,,,
55,Clay,Saiz,M,22,Student,6546546662,Taiwan,,United States,District of Columbia,08/10/23,07/07/24,$14547.10,air,Master's,Computer Science,Brewton-Parker College,1/18/2023,9/19/2024,,,,,,,,,,,,,,,,,,,
56,Florella,Amar,F,21,Student,7367147346,Taiwan,,United States,Texas,09/12/23,9/25/2023,$11610.61,air,Master's,Business Administration,Mount Vernon Nazarene College,1/14/2023,3/19/2025,,,,,,,,,,,,,,,,,,,
57,Oates,Josefson,M,18,Student,7734256133,Taiwan,,United States,Colorado,08/01/23,04/05/25,$11290.49,air,Master's,Computer Science,Catholic Theological Union,01/11/23,11/03/24,,,,,,,,,,,,,,,,,,,
58,Alberta,Balmforth,F,23,Student,5472228485,Taiwan,,United States,Minnesota,08/08/23,9/28/2023,$13528.56,air,Master's,Business Administration,Thomas University,01/07/23,1/28/2024,,,,,,,,,,,,,,,,,,,
59,El,Crammy,M,31,Student,8970191111,Taiwan,,United States,Alabama,8/19/2023,11/20/2024,$12781.24,air,Master's,Computer Science,California College of Arts and Crafts,1/25/2023,12/07/24,,,,,,,,,,,,,,,,,,,
60,Winthrop,Lawleff,M,19,Student,6330116718,Taiwan,,United States,Minnesota,09/04/23,01/06/24,$14040.41,air,Master's,Business Administration,"City University of New York, Bernard M. Baruch College",1/23/2023,4/24/2024,,,,,,,,,,,,,,,,,,,
61,Vally,Ferney,F,26,Student,9304339738,Taiwan,,United States,Louisiana,09/09/23,6/26/2023,$11781.06,air,Master's,Computer Science,Wayne State University,01/08/23,3/20/2024,,,,,,,,,,,,,,,,,,,
62,Winonah,Cockhill,F,32,Student,5503962321,Taiwan,,United States,Washington,8/18/2023,7/21/2023,$21686.20,air,Master's,Computer Science,Georgia Institute of Technology,1/16/2023,3/21/2025,,,,,,,,,,,,,,,,,,,
63,Darcey,Umney,F,26,Student,6751244571,Taiwan,,United States,Michigan,8/19/2023,8/28/2024,$24256.10,air,Master's,Computer Science,North Carolina State University,01/06/23,10/04/24,,,,,,,,,,,,,,,,,,,
64,Merline,Warsap,F,25,Student,4304105386,Taiwan,,United States,Ohio,08/02/23,4/14/2025,$17646.63,air,Master's,Business Administration,Knoxville College,01/08/23,10/12/24,,,,,,,,,,,,,,,,,,,
65,Billi,Apthorpe,F,24,Student,9185660442,Taiwan,,United States,California,8/17/2023,09/12/23,$14053.82,air,Master's,Psychology,Louisiana State University at Alexandria,01/01/23,12/17/2024,,,,,,,,,,,,,,,,,,,
66,Creight,Simeons,M,30,Student,8694071690,Taiwan,,United States,Missouri,08/10/23,1/23/2025,$19334.97,air,Master's,Business Administration,Ringling College of Art and Design,1/18/2023,4/23/2024,,,,,,,,,,,,,,,,,,,
67,Shaylynn,Cuningham,F,26,Student,5718465197,Taiwan,,United States,West Virginia,08/08/23,1/17/2024,$17031.84,air,Master's,Business Administration,Southern Methodist University,1/21/2023,12/31/2023,,,,,,,,,,,,,,,,,,,
68,Barnebas,O'Hannay,M,25,Student,9497822211,Taiwan,,United States,Texas,8/17/2023,2/21/2023,$21493.44,air,Master's,Computer Science,Hastings College,1/17/2023,5/20/2025,,,,,,,,,,,,,,,,,,,
69,Deena,Headon,F,35,Student,5414054193,Taiwan,,United States,Tennessee,8/14/2023,12/16/2024,$19525.65,air,Master's,Computer Science,University of Sioux Falls,01/03/23,01/10/25,,,,,,,,,,,,,,,,,,,
70,Clayborne,Ion,M,23,Student,2696487113,Taiwan,,United States,Ohio,8/27/2023,11/12/24,$12684.07,air,Master's,Business Administration,Kansas City Art Institute,1/27/2023,6/25/2024,,,,,,,,,,,,,,,,,,,
71,Nara,Salvatore,F,24,Student,6294443047,Taiwan,,United States,Ohio,8/22/2023,1/23/2024,$17361.64,air,Master's,Computer Science,Central Connecticut State University,01/06/23,1/30/2025,,,,,,,,,,,,,,,,,,,
72,Ariel,Holbie,M,28,Student,8155241695,Taiwan,,United States,Georgia,8/21/2023,5/25/2024,$10012.32,air,Master's,Computer Science,Mount Marty College,1/29/2023,7/31/2024,,,,,,,,,,,,,,,,,,,
73,Cindee,Fortune,F,18,Student,1449842053,Taiwan,,United States,New Jersey,08/12/23,02/02/24,$10214.91,air,Master's,Computer Science,University of Wisconsin - Stout,1/23/2023,07/01/24,,,,,,,,,,,,,,,,,,,
74,Carma,Maxsted,F,28,Student,2560598265,Taiwan,,United States,Indiana,08/04/23,2/16/2023,$20403.60,air,Master's,Psychology,Moody Bible Institute,01/10/23,12/04/24,,,,,,,,,,,,,,,,,,,
75,Bentlee,Gilfether,M,25,Student,6940124755,Taiwan,,United States,Illinois,08/07/23,04/10/23,$11925.54,air,Master's,Computer Science,University of Minnesota - Duluth,1/24/2023,07/12/24,,,,,,,,,,,,,,,,,,,
76,Monika,Gullick,F,31,Student,3447283157,Taiwan,,United States,Illinois,8/25/2023,2/20/2023,$10314.36,air,Master's,Computer Science,Marymount Manhattan College,1/16/2023,2/21/2025,,,,,,,,,,,,,,,,,,,
77,Birk,Ogg,M,18,Student,9789958572,Taiwan,,United States,Missouri,8/30/2023,2/23/2025,$22305.05,air,Master's,Psychology,Furman University,1/21/2023,3/28/2024,,,,,,,,,,,,,,,,,,,
78,Meyer,Cochet,M,25,Student,1467606549,Taiwan,,United States,Georgia,08/12/23,8/24/2024,$18710.43,air,Master's,Computer Science,York University,01/12/23,07/12/24,,,,,,,,,,,,,,,,,,,
79,Ade,Budibent,M,21,Student,8978751761,Taiwan,,United States,North Carolina,8/13/2023,04/09/24,$11971.05,air,Master's,Business Administration,Pace University  Pleasantville/Briarcliff,1/24/2023,4/19/2025,,,,,,,,,,,,,,,,,,,
80,Nichol,Plumer,F,35,Student,4638560344,Taiwan,,United States,Tennessee,08/03/23,2/23/2025,$15159.98,air,Master's,Psychology,Maine Maritime Academy,1/14/2023,4/27/2025,,,,,,,,,,,,,,,,,,,
81,Ewell,Keneforde,M,34,Student,5968396269,Taiwan,,United States,Mississippi,08/10/23,10/13/2023,$15374.42,air,Master's,Psychology,American University,01/02/23,6/22/2024,,,,,,,,,,,,,,,,,,,
82,Row,Danilevich,F,29,Student,2138274263,Taiwan,,United States,Virginia,8/29/2023,05/07/23,$24436.55,air,Master's,Computer Science,Georgia College & State University,01/04/23,3/27/2024,,,,,,,,,,,,,,,,,,,
83,Broderic,Mechic,M,21,Student,4102913228,Taiwan,,United States,Arizona,09/11/23,08/05/24,$18313.72,air,Master's,Computer Science,Southern Methodist University,1/30/2023,04/01/25,,,,,,,,,,,,,,,,,,,
84,Hammad,Cansfield,M,31,Student,3768481675,Taiwan,,United States,Florida,8/23/2023,01/04/25,$11762.71,air,Master's,Computer Science,Graduate Theological Union,1/26/2023,3/27/2025,,,,,,,,,,,,,,,,,,,
85,Evered,Tessier,M,21,Student,4650452856,Taiwan,,United States,Colorado,08/09/23,01/08/24,$18652.30,air,Master's,Business Administration,Mercer University,1/16/2023,5/15/2025,,,,,,,,,,,,,,,,,,,
86,Aila,Gettens,F,23,Student,2147137901,Taiwan,,United States,California,09/05/23,05/11/24,$11679.77,air,Master's,Computer Science,Lubbock Christian University,1/13/2023,10/29/2024,,,,,,,,,,,,,,,,,,,
87,Annice,Strank,F,32,Student,5622385067,Taiwan,,United States,Massachusetts,08/09/23,5/20/2023,$24940.54,air,Master's,Computer Science,University of South Carolina - Beaufort,1/16/2023,12/24/2023,,,,,,,,,,,,,,,,,,,
88,Ivonne,Kmiec,F,32,Student,4449438048,Taiwan,,United States,Indiana,08/08/23,02/10/23,$17183.92,air,Master's,Computer Science,Brown University,1/19/2023,04/03/25,,,,,,,,,,,,,,,,,,,
89,Roxanna,Guilliland,F,35,Student,3027417785,Taiwan,,United States,Virginia,8/28/2023,3/18/2024,$23164.16,air,Master's,Computer Science,Coastal Carolina University,01/05/23,5/17/2025,,,,,,,,,,,,,,,,,,,
90,Nahum,Gouldstraw,M,26,Student,9017342221,Taiwan,,United States,Tennessee,08/01/23,4/27/2024,$13973.20,air,Master's,Business Administration,Louisiana State University at Alexandria,1/18/2023,03/06/25,,,,,,,,,,,,,,,,,,,
91,Ellery,Rosenfeld,M,24,Student,5687372092,Taiwan,,United States,California,8/26/2023,2/21/2025,$14037.70,air,Master's,Business Administration,State University of New York Health Sience Centre Syracuse,01/07/23,05/03/25,,,,,,,,,,,,,,,,,,,
92,Paulette,Sisley,F,23,Student,6533723811,Taiwan,,United States,Wisconsin,8/13/2023,04/10/23,$22189.02,air,Master's,Psychology,University Of Hawaii - System,01/05/23,7/28/2024,,,,,,,,,,,,,,,,,,,
93,Linzy,Pellamont,F,26,Student,1956444926,Taiwan,,United States,Virginia,9/13/2023,11/27/2023,$17100.66,air,Master's,Psychology,Illinois Valley Community College,1/22/2023,1/22/2025,,,,,,,,,,,,,,,,,,,
94,Pascal,Muneely,M,30,Student,1463161777,Taiwan,,United States,California,08/10/23,10/24/2023,$14932.80,air,Master's,Computer Science,Wells College,01/09/23,2/19/2024,,,,,,,,,,,,,,,,,,,
95,Tawnya,Blackhurst,F,29,Student,7568732945,Taiwan,,United States,New York,09/06/23,11/05/23,$11096.13,air,Master's,Business Administration,Bryn Athyn College of the New Church,1/25/2023,07/03/24,,,,,,,,,,,,,,,,,,,
96,Bat,Trewartha,M,26,Student,8669891543,Taiwan,,United States,Minnesota,9/13/2023,7/31/2023,$10364.97,air,Master's,Computer Science,Willamette University,01/04/23,7/16/2024,,,,,,,,,,,,,,,,,,,
97,Myrta,Baylie,F,20,Student,1918543352,Taiwan,,United States,Ohio,8/16/2023,10/23/2023,$15441.14,air,Master's,Computer Science,Franklin Pierce Law Center,01/11/23,10/19/2024,,,,,,,,,,,,,,,,,,,
98,Leeann,Hamlyn,F,35,Student,3997243767,Taiwan,,United States,California,8/14/2023,5/22/2023,$23408.85,air,Master's,Computer Science,University of Redlands,1/28/2023,4/16/2025,,,,,,,,,,,,,,,,,,,
99,Raimondo,Matyushkin,M,24,Student,7879211239,Taiwan,,United States,District of Columbia,8/14/2023,4/21/2025,$24196.36,air,Master's,Computer Science,"California State University, Stanislaus",01/10/23,12/06/24,,,,,,,,,,,,,,,,,,,
100,Danita,McAllester,F,18,Student,3311210723,Taiwan,,United States,Florida,09/03/23,02/05/23,$18741.80,air,Master's,Computer Science,Southeastern Oklahoma State University,1/17/2023,4/20/2025,,,,,,,,,,,,,,,,,,,
101,Oralle,Trewhela,F,19,Student,6470158606,Taiwan,,United States,Alabama,08/04/23,01/08/25,$12513.93,air,Master's,Computer Science,University of Connecticut,1/28/2023,5/25/2024,,,,,,,,,,,,,,,,,,,
102,Evelina,Gatling,F,34,Student,5236966174,Taiwan,,United States,Texas,8/13/2023,9/20/2023,$11921.45,air,Master's,Computer Science,University of Wisconsin - Milwaukee,1/14/2023,5/26/2025,,,,,,,,,,,,,,,,,,,
103,Edgard,Spary,M,26,Student,2421748918,Taiwan,,United States,New York,08/01/23,11/17/2024,$14802.18,air,Master's,Computer Science,Bucknell University,1/29/2023,11/05/24,,,,,,,,,,,,,,,,,,,
104,Zabrina,Rockhall,F,30,Student,3790270590,Taiwan,,United States,Arkansas,8/18/2023,12/24/2023,$19204.33,air,Master's,Computer Science,"University of Washington, Tacoma",1/16/2023,05/06/25,,,,,,,,,,,,,,,,,,,
105,Brittne,Immer,F,33,Student,6714221771,Taiwan,,United States,Illinois,8/14/2023,9/23/2024,$14034.10,air,Master's,Computer Science,Trinity University,01/06/23,06/10/24,,,,,,,,,,,,,,,,,,,
106,Benjamin,Maxfield,M,35,Student,9128014685,Taiwan,,United States,California,09/10/23,11/18/2024,$24200.94,air,Master's,Psychology,Oregon Graduate Institute of Science and Technology,01/02/23,10/06/24,,,,,,,,,,,,,,,,,,,
107,Loren,Jarvie,F,20,Student,6566162884,Taiwan,,United States,Massachusetts,08/12/23,02/02/25,$15444.02,air,Master's,Computer Science,Prairie View Agricultural and Mechanical University,1/24/2023,08/12/24,,,,,,,,,,,,,,,,,,,
108,Kristoffer,Szimon,M,32,Student,4428414818,Taiwan,,United States,Louisiana,8/21/2023,6/23/2024,$11400.50,air,Master's,Computer Science,University of Maryland Baltimore County,1/17/2023,04/10/25,,,,,,,,,,,,,,,,,,,
109,Therine,Eat,F,29,Student,8104711753,Taiwan,,United States,Minnesota,09/09/23,5/27/2024,$13084.19,air,Master's,Computer Science,Stillman College,01/07/23,12/16/2024,,,,,,,,,,,,,,,,,,,
110,Mitchell,Lathey,M,21,Student,9653777304,Taiwan,,United States,Virginia,08/08/23,7/15/2023,$17607.33,air,Master's,Business Administration,Mills College,1/21/2023,09/07/24,,,,,,,,,,,,,,,,,,,
111,Windham,Taunton.,M,21,Student,1353110258,Taiwan,,United States,Minnesota,8/15/2023,2/25/2025,$13025.70,air,Master's,Computer Science,St. John's Seminary,1/17/2023,1/23/2025,,,,,,,,,,,,,,,,,,,
112,Kaylee,Casperri,F,21,Student,9527285996,Taiwan,,United States,Georgia,8/19/2023,1/31/2024,$18941.30,air,Master's,Computer Science,Indiana Institute of Technologyy,01/03/23,4/17/2025,,,,,,,,,,,,,,,,,,,
113,Grenville,Dudmarsh,M,21,Student,3929674696,Taiwan,,United States,Alabama,8/30/2023,04/03/24,$15020.29,air,Master's,Computer Science,California School of Professional Psychology - Fresno,01/09/23,5/17/2025,,,,,,,,,,,,,,,,,,,
114,Alyosha,Glanvill,M,29,Student,9751106610,Taiwan,,United States,Ohio,9/13/2023,9/23/2023,$13883.24,air,Master's,Computer Science,University of Arkansas at Fayetteville,01/06/23,08/04/24,,,,,,,,,,,,,,,,,,,
115,Flin,O'Grada,M,31,Student,1520645865,Taiwan,,United States,Massachusetts,8/31/2023,11/30/2024,$16458.42,air,Master's,Computer Science,Barton College,1/26/2023,04/06/24,,,,,,,,,,,,,,,,,,,
116,Valentina,Messiter,F,26,Student,8973080192,Taiwan,,United States,Wisconsin,09/02/23,01/02/24,$16761.94,air,Master's,Computer Science,Berean University of the Assemblies of God,1/20/2023,4/19/2025,,,,,,,,,,,,,,,,,,,
117,Massimiliano,Monck,M,19,Student,6123396795,Taiwan,,United States,California,08/08/23,9/21/2024,$24766.53,air,Master's,Computer Science,Lipscomb University,01/10/23,04/08/24,,,,,,,,,,,,,,,,,,,
118,Timmie,Powelee,F,22,Student,9505596858,Taiwan,,United States,Texas,09/10/23,3/16/2023,$19197.32,air,Master's,Computer Science,Oklahoma State University - Tulsa,01/12/23,6/16/2024,,,,,,,,,,,,,,,,,,,
119,Konstanze,MacAirt,F,26,Student,7982742685,Taiwan,,United States,Minnesota,9/14/2023,12/10/24,$11808.25,air,Master's,Business Administration,Southern Adventist University,1/26/2023,11/12/24,,,,,,,,,,,,,,,,,,,
120,Nana,Felten,F,31,Student,4044995846,Taiwan,,United States,Texas,08/05/23,01/07/24,$16386.02,air,Master's,Computer Science,Creighton University,01/06/23,5/24/2025,,,,,,,,,,,,,,,,,,,
121,Ealasaid,Hayball,F,32,Student,5492880259,Taiwan,,United States,Ohio,08/11/23,05/04/24,$17205.66,air,Master's,Computer Science,Brooklyn Law School,1/24/2023,05/05/25,,,,,,,,,,,,,,,,,,,
122,Jessie,Durdy,M,20,Student,1665389326,Taiwan,,United States,Texas,09/04/23,09/11/24,$13122.13,air,Master's,Business Administration,William Jewell College,1/16/2023,1/16/2024,,,,,,,,,,,,,,,,,,,
